"Session","Workshop","Priority","BusinessOwner","Subprocess","AppId","AppName","PublicCloud2602","BusinessCatalog","Component","ScopeItemCandidate","ScopeItemId","TestScriptReference","FitGapDecision","DecisionStatus","PrimaryDecisionPrompt","BoundaryQuestion","EvidenceRequired","SecurityFocus","SoDReview","MexicoComplianceTopic","MexicoEvidence","FollowUpAction","SourceFile"
"Session 3 - Travel, expenses and reimbursement","H2R travel, expenses and reimbursement","High","Travel / Finance AP Owner","Travel plans assistant","F6771","Travel Plans for Travel Assistant","No / validar","Without Catalog Assignment","FI-FIO-TV-PL","Travel and expense management","TBD - validate in SAP Process Navigator / tenant","TBD - link SAP Best Practices / Cloud ALM test script","TBD - standard first","Open","Can the standard app and process cover the requirement without extension or custom workflow?","Confirm SuccessFactors, payroll provider, Concur/travel, IAM, finance and project-system boundary for this step.","Tenant role/catalog visibility; demo execution; scope item confirmation; test script; owner decision; Mexico evidence if applicable","Business control","Yes","Audit evidence; SoD / restricted access","XML/PDF, acuse, material/accounting/maintenance/quality document link, approval log and audit evidence where applicable","Review in workshop, capture decision owner, attach evidence, update decision status","docs/deliverables/s4hana-fiori-hire-to-retire-app-inventory.md"
"Session 3 - Travel, expenses and reimbursement","H2R travel, expenses and reimbursement","High","Travel / Finance AP Owner","Travel request","F0409A","My Travel Requests (Version 2)","No / validar","SAP_FI_BC_TRV","FI-FIO-TV-MTR","Travel and expense management","TBD - validate in SAP Process Navigator / tenant","TBD - link SAP Best Practices / Cloud ALM test script","TBD - standard first","Open","Can the standard app and process cover the requirement without extension or custom workflow?","Confirm SuccessFactors, payroll provider, Concur/travel, IAM, finance and project-system boundary for this step.","Tenant role/catalog visibility; demo execution; scope item confirmation; test script; owner decision; Mexico evidence if applicable","Business control","Yes","Audit evidence; SoD / restricted access","XML/PDF, acuse, material/accounting/maintenance/quality document link, approval log and audit evidence where applicable","Review in workshop, capture decision owner, attach evidence, update decision status","docs/deliverables/s4hana-fiori-hire-to-retire-app-inventory.md"
"Session 3 - Travel, expenses and reimbursement","H2R travel, expenses and reimbursement","High","Travel / Finance AP Owner","Travel request","F6015A","My Travel Requests (Version 4) for Business Traveler","No / validar","SAP_FI_BC_TRV","FI-FIO-TV-MTR","Travel and expense management","TBD - validate in SAP Process Navigator / tenant","TBD - link SAP Best Practices / Cloud ALM test script","TBD - standard first","Open","Can the standard app and process cover the requirement without extension or custom workflow?","Confirm SuccessFactors, payroll provider, Concur/travel, IAM, finance and project-system boundary for this step.","Tenant role/catalog visibility; demo execution; scope item confirmation; test script; owner decision; Mexico evidence if applicable","Business control","Yes","Audit evidence; SoD / restricted access","XML/PDF, acuse, material/accounting/maintenance/quality document link, approval log and audit evidence where applicable","Review in workshop, capture decision owner, attach evidence, update decision status","docs/deliverables/s4hana-fiori-hire-to-retire-app-inventory.md"
"Session 3 - Travel, expenses and reimbursement","H2R travel, expenses and reimbursement","High","Travel / Finance AP Owner","Travel request approval","F0411A","My Inbox - Approve Travel Requests","No / validar","SAP_FND_BC_MANAGER_T","FI-FIO-TV-ATR","Travel and expense management","TBD - validate in SAP Process Navigator / tenant","TBD - link SAP Best Practices / Cloud ALM test script","TBD - standard first","Open","Can the standard app and process cover the requirement without extension or custom workflow?","Confirm SuccessFactors, payroll provider, Concur/travel, IAM, finance and project-system boundary for this step.","Tenant role/catalog visibility; demo execution; scope item confirmation; test script; owner decision; Mexico evidence if applicable","Business control","Yes","Audit evidence; SoD / restricted access","XML/PDF, acuse, material/accounting/maintenance/quality document link, approval log and audit evidence where applicable","Review in workshop, capture decision owner, attach evidence, update decision status","docs/deliverables/s4hana-fiori-hire-to-retire-app-inventory.md"
"Session 3 - Travel, expenses and reimbursement","H2R travel, expenses and reimbursement","High","Travel / Finance AP Owner","Travel request assistant","F0409C","Travel Requests (Version 4) for Travel Assistant","No / validar","SAP_FI_BC_TRV_ASSISTANT","FI-FIO-TV-MTR","Travel and expense management","TBD - validate in SAP Process Navigator / tenant","TBD - link SAP Best Practices / Cloud ALM test script","TBD - standard first","Open","Can the standard app and process cover the requirement without extension or custom workflow?","Confirm SuccessFactors, payroll provider, Concur/travel, IAM, finance and project-system boundary for this step.","Tenant role/catalog visibility; demo execution; scope item confirmation; test script; owner decision; Mexico evidence if applicable","Business control","Yes","Audit evidence; SoD / restricted access","XML/PDF, acuse, material/accounting/maintenance/quality document link, approval log and audit evidence where applicable","Review in workshop, capture decision owner, attach evidence, update decision status","docs/deliverables/s4hana-fiori-hire-to-retire-app-inventory.md"
"Session 4 - Project staffing and resource management","H2R project staffing and resource management","High","Project / Resource Owner","Project staffing analytics","F2902","Project Staffing Analysis","Si","SAP_PSP_BC_PROJ_STAFF_ANA_PC","CA-CPD-SS","Project staffing and resource management","TBD - validate in SAP Process Navigator / tenant","TBD - link SAP Best Practices / Cloud ALM test script","TBD - standard first","Open","Can the standard app and process cover the requirement without extension or custom workflow?","Confirm SuccessFactors, payroll provider, Concur/travel, IAM, finance and project-system boundary for this step.","Tenant role/catalog visibility; demo execution; scope item confirmation; test script; owner decision; Mexico evidence if applicable","Business control","Yes","Audit evidence; SoD / restricted access","XML/PDF, acuse, material/accounting/maintenance/quality document link, approval log and audit evidence where applicable","Review in workshop, capture decision owner, attach evidence, update decision status","docs/deliverables/s4hana-fiori-hire-to-retire-app-inventory.md"
"Session 4 - Project staffing and resource management","H2R project staffing and resource management","High","Project / Resource Owner","Resource overview","/RPM/RES_MNG_DETAILS (/RPM/WDA_RES_MNG_DETAILS_OIF_CFG)","Resource Overview","No / validar","SAP_PPM_BC_PROJ_RESMANAGER","PPM-PFM","Project staffing and resource management","TBD - validate in SAP Process Navigator / tenant","TBD - link SAP Best Practices / Cloud ALM test script","TBD - standard first","Open","Can the standard app and process cover the requirement without extension or custom workflow?","Confirm SuccessFactors, payroll provider, Concur/travel, IAM, finance and project-system boundary for this step.","Tenant role/catalog visibility; demo execution; scope item confirmation; test script; owner decision; Mexico evidence if applicable","Standard role design","Review",,,"Review in workshop, capture decision owner, attach evidence, update decision status","docs/deliverables/s4hana-fiori-hire-to-retire-app-inventory.md"
"Session 4 - Project staffing and resource management","H2R project staffing and resource management","High","Project / Resource Owner","Staff resource request","F4725","Staff Resource Requests","Si","SAP_PPM_BC_RM_RES_MGMT_PC","PPM-PRO","Project staffing and resource management","TBD - validate in SAP Process Navigator / tenant","TBD - link SAP Best Practices / Cloud ALM test script","TBD - standard first","Open","Can the standard app and process cover the requirement without extension or custom workflow?","Confirm SuccessFactors, payroll provider, Concur/travel, IAM, finance and project-system boundary for this step.","Tenant role/catalog visibility; demo execution; scope item confirmation; test script; owner decision; Mexico evidence if applicable","Business control","Yes","Audit evidence; SoD / restricted access","XML/PDF, acuse, material/accounting/maintenance/quality document link, approval log and audit evidence where applicable","Review in workshop, capture decision owner, attach evidence, update decision status","docs/deliverables/s4hana-fiori-hire-to-retire-app-inventory.md"
"Session 4 - Project staffing and resource management","H2R project staffing and resource management","High","Project / Resource Owner","Staffing overview","/RPM/STAFF_MNG_DETAILS (/RPM/WDA_STAFF_MNG_DET_OIF_CFG)","Staffing Overview","No / validar","SAP_PPM_BC_PROJ_RESMANAGER","PPM-PFM","Project staffing and resource management","TBD - validate in SAP Process Navigator / tenant","TBD - link SAP Best Practices / Cloud ALM test script","TBD - standard first","Open","Can the standard app and process cover the requirement without extension or custom workflow?","Confirm SuccessFactors, payroll provider, Concur/travel, IAM, finance and project-system boundary for this step.","Tenant role/catalog visibility; demo execution; scope item confirmation; test script; owner decision; Mexico evidence if applicable","Business control","Yes","Audit evidence; SoD / restricted access","XML/PDF, acuse, material/accounting/maintenance/quality document link, approval log and audit evidence where applicable","Review in workshop, capture decision owner, attach evidence, update decision status","docs/deliverables/s4hana-fiori-hire-to-retire-app-inventory.md"
"Session 5 - Personnel settlement and commissions","H2R personnel settlement and commissions","High","Settlement / Sales Ops Owner","Personnel settlement","F3808A","Manage Personnel Settlement Documents (Version 2)","Si","SAP_SD_BC_PSDOC_IC_MNG","LO-AB","Personnel settlement and commissions","TBD - validate in SAP Process Navigator / tenant","TBD - link SAP Best Practices / Cloud ALM test script","TBD - standard first","Open","Can the standard app and process cover the requirement without extension or custom workflow?","Confirm SuccessFactors, payroll provider, Concur/travel, IAM, finance and project-system boundary for this step.","Tenant role/catalog visibility; demo execution; scope item confirmation; test script; owner decision; Mexico evidence if applicable","Business control","Yes","Audit evidence; SoD / restricted access","XML/PDF, acuse, material/accounting/maintenance/quality document link, approval log and audit evidence where applicable","Review in workshop, capture decision owner, attach evidence, update decision status","docs/deliverables/s4hana-fiori-hire-to-retire-app-inventory.md"
"Session 5 - Personnel settlement and commissions","H2R personnel settlement and commissions","High","Settlement / Sales Ops Owner","Personnel settlement document","F5084","Personnel Settlement Document","Si","SAP_SD_BC_PSDOC_IC_MNG","LO-AB","Personnel settlement and commissions","TBD - validate in SAP Process Navigator / tenant","TBD - link SAP Best Practices / Cloud ALM test script","TBD - standard first","Open","Can the standard app and process cover the requirement without extension or custom workflow?","Confirm SuccessFactors, payroll provider, Concur/travel, IAM, finance and project-system boundary for this step.","Tenant role/catalog visibility; demo execution; scope item confirmation; test script; owner decision; Mexico evidence if applicable","Business control","Yes","Audit evidence; SoD / restricted access","XML/PDF, acuse, material/accounting/maintenance/quality document link, approval log and audit evidence where applicable","Review in workshop, capture decision owner, attach evidence, update decision status","docs/deliverables/s4hana-fiori-hire-to-retire-app-inventory.md"
"Session 5 - Personnel settlement and commissions","H2R personnel settlement and commissions","High","Settlement / Sales Ops Owner","Personnel settlement items","F7935","Monitor Personnel Settlement Document Items","Si","SAP_SD_BC_PSDOC_IC_ITM_MON","LO-AB","Personnel settlement and commissions","TBD - validate in SAP Process Navigator / tenant","TBD - link SAP Best Practices / Cloud ALM test script","TBD - standard first","Open","Can the standard app and process cover the requirement without extension or custom workflow?","Confirm SuccessFactors, payroll provider, Concur/travel, IAM, finance and project-system boundary for this step.","Tenant role/catalog visibility; demo execution; scope item confirmation; test script; owner decision; Mexico evidence if applicable","Business control","Yes","Audit evidence; SoD / restricted access","XML/PDF, acuse, material/accounting/maintenance/quality document link, approval log and audit evidence where applicable","Review in workshop, capture decision owner, attach evidence, update decision status","docs/deliverables/s4hana-fiori-hire-to-retire-app-inventory.md"
"Session 5 - Personnel settlement and commissions","H2R personnel settlement and commissions","High","Settlement / Sales Ops Owner","Personnel settlement monitoring","F4009","Monitor Personnel Settlement Documents","Si","SAP_SD_BC_PSDOC_MON","LO-AB","Personnel settlement and commissions","TBD - validate in SAP Process Navigator / tenant","TBD - link SAP Best Practices / Cloud ALM test script","TBD - standard first","Open","Can the standard app and process cover the requirement without extension or custom workflow?","Confirm SuccessFactors, payroll provider, Concur/travel, IAM, finance and project-system boundary for this step.","Tenant role/catalog visibility; demo execution; scope item confirmation; test script; owner decision; Mexico evidence if applicable","Business control","Yes","Audit evidence; SoD / restricted access","XML/PDF, acuse, material/accounting/maintenance/quality document link, approval log and audit evidence where applicable","Review in workshop, capture decision owner, attach evidence, update decision status","docs/deliverables/s4hana-fiori-hire-to-retire-app-inventory.md"
"Session 5 - Personnel settlement and commissions","H2R personnel settlement and commissions","High","Settlement / Sales Ops Owner","Personnel settlement workflow","F4021","Manage Workflows - Personnel Settlement Documents","Si","SAP_SM_BC_ABDOC_CONFIGURE","LO-AB","Personnel settlement and commissions","TBD - validate in SAP Process Navigator / tenant","TBD - link SAP Best Practices / Cloud ALM test script","TBD - standard first","Open","Can the standard app and process cover the requirement without extension or custom workflow?","Confirm SuccessFactors, payroll provider, Concur/travel, IAM, finance and project-system boundary for this step.","Tenant role/catalog visibility; demo execution; scope item confirmation; test script; owner decision; Mexico evidence if applicable","Business control","Yes","Audit evidence; SoD / restricted access","XML/PDF, acuse, material/accounting/maintenance/quality document link, approval log and audit evidence where applicable","Review in workshop, capture decision owner, attach evidence, update decision status","docs/deliverables/s4hana-fiori-hire-to-retire-app-inventory.md"
"Session 6 - Payroll, costing and finance handoff","H2R payroll, costing and finance handoff","High","Payroll / Finance Owner","Activity type master","F1605A","Manage Activity Types (Version 2)","Si","SAP_SFIN_BC_OH_MD_CCA","CO-FIO-ATY-MD","Payroll accounting and finance handoff","TBD - validate in SAP Process Navigator / tenant","TBD - link SAP Best Practices / Cloud ALM test script","TBD - standard first","Open","Can the standard app and process cover the requirement without extension or custom workflow?","Confirm SuccessFactors, payroll provider, Concur/travel, IAM, finance and project-system boundary for this step.","Tenant role/catalog visibility; demo execution; scope item confirmation; test script; owner decision; Mexico evidence if applicable","Business control","Yes","Audit evidence; SoD / restricted access","XML/PDF, acuse, material/accounting/maintenance/quality document link, approval log and audit evidence where applicable","Review in workshop, capture decision owner, attach evidence, update decision status","docs/deliverables/s4hana-fiori-hire-to-retire-app-inventory.md"
"Session 6 - Payroll, costing and finance handoff","H2R payroll, costing and finance handoff","High","Payroll / Finance Owner","Cost center master","F1443A","Manage Cost Centers (Version 2)","Si","SAP_SFIN_BC_OH_MD_CCA","CO-FIO-CCA-MD","Payroll accounting and finance handoff","TBD - validate in SAP Process Navigator / tenant","TBD - link SAP Best Practices / Cloud ALM test script","TBD - standard first","Open","Can the standard app and process cover the requirement without extension or custom workflow?","Confirm SuccessFactors, payroll provider, Concur/travel, IAM, finance and project-system boundary for this step.","Tenant role/catalog visibility; demo execution; scope item confirmation; test script; owner decision; Mexico evidence if applicable","Business control","Yes","Maintenance cost / asset audit trail; SoD / restricted access","XML/PDF, acuse, material/accounting/maintenance/quality document link, approval log and audit evidence where applicable","Review in workshop, capture decision owner, attach evidence, update decision status","docs/deliverables/s4hana-fiori-hire-to-retire-app-inventory.md"
"Session 6 - Payroll, costing and finance handoff","H2R payroll, costing and finance handoff","High","Payroll / Finance Owner","Direct activity allocation","F3697A","Manage Direct Activity Allocation - New Version","Si","SAP_FIN_BC_OH_PER_GPA_PC","CO-FIO-CCA-TRA","Payroll accounting and finance handoff","TBD - validate in SAP Process Navigator / tenant","TBD - link SAP Best Practices / Cloud ALM test script","TBD - standard first","Open","Can the standard app and process cover the requirement without extension or custom workflow?","Confirm SuccessFactors, payroll provider, Concur/travel, IAM, finance and project-system boundary for this step.","Tenant role/catalog visibility; demo execution; scope item confirmation; test script; owner decision; Mexico evidence if applicable","Business control","Yes","Audit evidence; SoD / restricted access","XML/PDF, acuse, material/accounting/maintenance/quality document link, approval log and audit evidence where applicable","Review in workshop, capture decision owner, attach evidence, update decision status","docs/deliverables/s4hana-fiori-hire-to-retire-app-inventory.md"
"Session 6 - Payroll, costing and finance handoff","H2R payroll, costing and finance handoff","High","Payroll / Finance Owner","Internal order master","F1604A","Manage Internal Orders (Version 2)","No / validar","SAP_SFIN_BC_OH_MD_OPA","CO-FIO-OPA-MD","Payroll accounting and finance handoff","TBD - validate in SAP Process Navigator / tenant","TBD - link SAP Best Practices / Cloud ALM test script","TBD - standard first","Open","Can the standard app and process cover the requirement without extension or custom workflow?","Confirm SuccessFactors, payroll provider, Concur/travel, IAM, finance and project-system boundary for this step.","Tenant role/catalog visibility; demo execution; scope item confirmation; test script; owner decision; Mexico evidence if applicable","Business control","Yes","Maintenance cost / asset audit trail; SoD / restricted access","XML/PDF, acuse, material/accounting/maintenance/quality document link, approval log and audit evidence where applicable","Review in workshop, capture decision owner, attach evidence, update decision status","docs/deliverables/s4hana-fiori-hire-to-retire-app-inventory.md"
"Session 6 - Payroll, costing and finance handoff","H2R payroll, costing and finance handoff","High","Payroll / Finance Owner","Payroll accounting","F8241","Payroll Accounting Notifications","Si","Without Catalog Assignment","FI-GL-BTI","Payroll accounting and finance handoff","TBD - validate in SAP Process Navigator / tenant","TBD - link SAP Best Practices / Cloud ALM test script","TBD - standard first","Open","Can the standard app and process cover the requirement without extension or custom workflow?","Confirm SuccessFactors, payroll provider, Concur/travel, IAM, finance and project-system boundary for this step.","Tenant role/catalog visibility; demo execution; scope item confirmation; test script; owner decision; Mexico evidence if applicable","Business control","Yes","Audit evidence; SoD / restricted access","XML/PDF, acuse, material/accounting/maintenance/quality document link, approval log and audit evidence where applicable","Review in workshop, capture decision owner, attach evidence, update decision status","docs/deliverables/s4hana-fiori-hire-to-retire-app-inventory.md"
"Session 7 - Access, controls and closeout","H2R access, controls and analytics","High","HR / Security Owner","HR master data fallback","PA20","Display HR Master Data","No / validar","Not found in exact FARL query","PA","H2R access, controls and analytics","TBD - validate in SAP Process Navigator / tenant","TBD - link SAP Best Practices / Cloud ALM test script","TBD - standard first","Open","Can the standard app and process cover the requirement without extension or custom workflow?","Confirm SuccessFactors, payroll provider, Concur/travel, IAM, finance and project-system boundary for this step.","Tenant role/catalog visibility; demo execution; scope item confirmation; test script; owner decision; Mexico evidence if applicable","Restricted fallback","Yes",,,"Review in workshop, capture decision owner, attach evidence, update decision status","docs/deliverables/s4hana-fiori-hire-to-retire-app-inventory.md"
"Session 7 - Access, controls and closeout","H2R access, controls and analytics","High","HR / Security Owner","HR master data fallback","PA30","Maintain HR Master Data","No / validar","Not found in exact FARL query","PA","H2R access, controls and analytics","TBD - validate in SAP Process Navigator / tenant","TBD - link SAP Best Practices / Cloud ALM test script","TBD - standard first","Open","Can the standard app and process cover the requirement without extension or custom workflow?","Confirm SuccessFactors, payroll provider, Concur/travel, IAM, finance and project-system boundary for this step.","Tenant role/catalog visibility; demo execution; scope item confirmation; test script; owner decision; Mexico evidence if applicable","Restricted fallback","Yes",,,"Review in workshop, capture decision owner, attach evidence, update decision status","docs/deliverables/s4hana-fiori-hire-to-retire-app-inventory.md"
"Session 7 - Access, controls and closeout","H2R access, controls and analytics","High","HR / Security Owner","Personnel action fallback","PA40","Personnel Actions","No / validar","Not found in exact FARL query","PA","H2R access, controls and analytics","TBD - validate in SAP Process Navigator / tenant","TBD - link SAP Best Practices / Cloud ALM test script","TBD - standard first","Open","Can the standard app and process cover the requirement without extension or custom workflow?","Confirm SuccessFactors, payroll provider, Concur/travel, IAM, finance and project-system boundary for this step.","Tenant role/catalog visibility; demo execution; scope item confirmation; test script; owner decision; Mexico evidence if applicable","Restricted fallback","Yes",,,"Review in workshop, capture decision owner, attach evidence, update decision status","docs/deliverables/s4hana-fiori-hire-to-retire-app-inventory.md"
