"Workshop","Workstream","BusinessOwner","Priority","FitGapDecision","DecisionStatus","ScopeItem","TestScript","TenantEvidence","OpenQuestions","KeyValidation","RiskFlag","FollowUpAction","ProcessFamily","Source","Subprocess","AppId","AppName","AppType","Role","ReleaseAnchor","PublicCloud2602","Catalog","Component","UsageType","MexicoRelevant","SourceValidationStatus","SourceFile"
"O2C billing, returns and credit memo","Lead-to-Cash / Order-to-Cash","Sales / Billing Owner","High","TBD - standard first","Open","TBD - validate against SAP Best Practices / tenant scope","TBD - link Cloud ALM / test evidence","Pending - app visibility, role/catalog and demo evidence required","Does the standard app cover the business scenario without extension or custom process change?","FARL deep link reviewed; Business role/catalog assigned in tenant; Launchpad space/page visible; Scope item confirmed; Demo script or test evidence attached","Standard validation","Review in workshop, capture decision owner, attach evidence, update decision status","Lead-to-Cash / Order-to-Cash","O2C/L2C","Devoluciones","F4832","Manage Customer Returns - Version 2","Transactional","Returns and Refund Clerk","S32PCE","Si","SAP_SD_BC_RETURNS_PROC","SD-SLS-RE","Standard / curated","No flagged","FARL sourced; tenant validation pending","docs/deliverables/s4hana-fiori-o2c-l2c-app-inventory.md"
"O2C receivables, payments, disputes and collections","Lead-to-Cash / Order-to-Cash","Finance AR / Treasury Owner","High","TBD - standard first","Open","TBD - validate against SAP Best Practices / tenant scope","TBD - link Cloud ALM / test evidence","Pending - app visibility, role/catalog and demo evidence required","Does the standard app cover the business scenario without extension or custom process change?","FARL deep link reviewed; Business role/catalog assigned in tenant; Launchpad space/page visible; Scope item confirmed; Demo script or test evidence attached","Standard validation","Review in workshop, capture decision owner, attach evidence, update decision status","Lead-to-Cash / Order-to-Cash","O2C/L2C","Disputes","F0702A","Manage Dispute Cases (Version 2)","Transactional","Accounts Receivable Accountant","S32PCE","Si","SAP_SFIN_BC_AR_DISPUTE_RES","FIN-FIO-CCD-COL","Standard / curated","No flagged","FARL sourced; tenant validation pending","docs/deliverables/s4hana-fiori-o2c-l2c-app-inventory.md"
"O2C receivables, payments, disputes and collections","Lead-to-Cash / Order-to-Cash","Finance AR / Treasury Owner","Medium","TBD - standard first","Open","TBD - validate against SAP Best Practices / tenant scope","TBD - link Cloud ALM / test evidence","Pending - app visibility, role/catalog and demo evidence required","Does the standard app cover the business scenario without extension or custom process change?","FARL deep link reviewed; Business role/catalog assigned in tenant; Launchpad space/page visible; Scope item confirmed; Demo script or test evidence attached","Standard validation","Review in workshop, capture decision owner, attach evidence, update decision status","Lead-to-Cash / Order-to-Cash","O2C/L2C","Disputes aging","F2540","Overdue Receivables in Dispute","Analytical","Accounts Receivable Manager","S32PCE","Si","SAP_SFIN_BC_AR_DM_ANALYTIC","FI-FIO-AR","Standard / curated","No flagged","FARL sourced; tenant validation pending","docs/deliverables/s4hana-fiori-o2c-l2c-app-inventory.md"
"O2C receivables, payments, disputes and collections","Lead-to-Cash / Order-to-Cash","Finance AR / Treasury Owner","Medium","TBD - standard first","Open","TBD - validate against SAP Best Practices / tenant scope","TBD - link Cloud ALM / test evidence","Pending - app visibility, role/catalog and demo evidence required","Does the standard app cover the business scenario without extension or custom process change?","FARL deep link reviewed; Business role/catalog assigned in tenant; Launchpad space/page visible; Scope item confirmed; Demo script or test evidence attached","Standard validation","Review in workshop, capture decision owner, attach evidence, update decision status","Lead-to-Cash / Order-to-Cash","O2C/L2C","Disputes analytics","F1752","Open Disputes","Analytical","Accounts Receivable Manager","S32PCE","Si","SAP_SFIN_BC_AR_DM_ANALYTIC","FIN-FIO-CCD","Standard / curated","No flagged","FARL sourced; tenant validation pending","docs/deliverables/s4hana-fiori-o2c-l2c-app-inventory.md"
"O2C receivables, payments, disputes and collections","Lead-to-Cash / Order-to-Cash","Finance AR / Treasury Owner","Medium","TBD - standard first","Open","TBD - validate against SAP Best Practices / tenant scope","TBD - link Cloud ALM / test evidence","Pending - app visibility, role/catalog and demo evidence required","Does the standard app cover the business scenario without extension or custom process change?","FARL deep link reviewed; Business role/catalog assigned in tenant; Launchpad space/page visible; Scope item confirmed; Demo script or test evidence attached","Standard validation","Review in workshop, capture decision owner, attach evidence, update decision status","Lead-to-Cash / Order-to-Cash","O2C/L2C","Disputes analytics","F2521","Solved Disputes","Analytical","Accounts Receivable Manager","S32PCE","Si","SAP_SFIN_BC_AR_DM_ANALYTIC","FIN-FIO-CCD","Standard / curated","No flagged","FARL sourced; tenant validation pending","docs/deliverables/s4hana-fiori-o2c-l2c-app-inventory.md"
"O2C receivables, payments, disputes and collections","Lead-to-Cash / Order-to-Cash","Finance AR / Treasury Owner","Medium","TBD - standard first","Open","TBD - validate against SAP Best Practices / tenant scope","TBD - link Cloud ALM / test evidence","Pending - app visibility, role/catalog and demo evidence required","Does the standard app cover the business scenario without extension or custom process change?","FARL deep link reviewed; Business role/catalog assigned in tenant; Launchpad space/page visible; Scope item confirmed; Demo script or test evidence attached","Standard validation","Review in workshop, capture decision owner, attach evidence, update decision status","Lead-to-Cash / Order-to-Cash","O2C/L2C","Disputes analytics","F2522","Processing Days of Open Disputes","Analytical","Accounts Receivable Manager","S32PCE","Si","SAP_SFIN_BC_AR_DM_ANALYTIC","FIN-FIO-CCD","Standard / curated","No flagged","FARL sourced; tenant validation pending","docs/deliverables/s4hana-fiori-o2c-l2c-app-inventory.md"
"O2C receivables, payments, disputes and collections","Lead-to-Cash / Order-to-Cash","Finance AR / Treasury Owner","Medium","TBD - standard first","Open","TBD - validate against SAP Best Practices / tenant scope","TBD - link Cloud ALM / test evidence","Pending - app visibility, role/catalog and demo evidence required","Does the standard app cover the business scenario without extension or custom process change?","FARL deep link reviewed; Business role/catalog assigned in tenant; Launchpad space/page visible; Scope item confirmed; Demo script or test evidence attached","Standard validation","Review in workshop, capture decision owner, attach evidence, update decision status","Lead-to-Cash / Order-to-Cash","O2C/L2C","Disputes analytics","F2523","New Versus Solved Disputes","Analytical","Accounts Receivable Manager","S32PCE","Si","SAP_SFIN_BC_AR_DM_ANALYTIC","FIN-FIO-CCD","Standard / curated","No flagged","FARL sourced; tenant validation pending","docs/deliverables/s4hana-fiori-o2c-l2c-app-inventory.md"
"O2C receivables, payments, disputes and collections","Lead-to-Cash / Order-to-Cash","Finance AR / Treasury Owner","High","TBD - standard first","Open","TBD - validate against SAP Best Practices / tenant scope","TBD - link Cloud ALM / test evidence","Pending - app visibility, role/catalog and demo evidence required","Does the standard app cover the business scenario without extension or custom process change?","FARL deep link reviewed; Business role/catalog assigned in tenant; Launchpad space/page visible; Scope item confirmed; Demo script or test evidence attached","Standard validation","Review in workshop, capture decision owner, attach evidence, update decision status","Lead-to-Cash / Order-to-Cash","O2C/L2C","Disputes jobs","F3578","Schedule Dispute Management Jobs","Transactional","Accounts Receivable Accountant","S32PCE","Si","SAP_SFIN_BC_AR_DM_PERIOACT","FIN-FIO-CCD","Standard / curated","No flagged","FARL sourced; tenant validation pending","docs/deliverables/s4hana-fiori-o2c-l2c-app-inventory.md"
"O2C receivables, payments, disputes and collections","Lead-to-Cash / Order-to-Cash","Process Owner","High","TBD - standard first","Open","TBD - validate against SAP Best Practices / tenant scope","TBD - link Cloud ALM / test evidence","Pending - app visibility, role/catalog and demo evidence required","Does the standard app cover the business scenario without extension or custom process change?","FARL deep link reviewed; Business role/catalog assigned in tenant; Launchpad space/page visible; Scope item confirmed; Demo script or test evidence attached","Standard validation","Review in workshop, capture decision owner, attach evidence, update decision status","Lead-to-Cash / Order-to-Cash","O2C/L2C","Disputes proposals","F5999","Manage Assignment Proposals for Dispute Cases","Transactional","Others","S32PCE","Si","SAP_SFIN_BC_AR_DM_REPROC","FIN-FIO-CCD-COL","Standard / curated","No flagged","FARL sourced; tenant validation pending","docs/deliverables/s4hana-fiori-o2c-l2c-app-inventory.md"
"Mexico compliance and fiscal evidence","Lead-to-Cash / Order-to-Cash","Tax / Localization Lead","High","TBD - standard first","Open","TBD - validate against SAP Best Practices / tenant scope","TBD - link Cloud ALM / test evidence","Pending - app visibility, role/catalog and demo evidence required","Which fiscal evidence, CFDI/DRC step, approval and audit trail must be validated for this scenario?","FARL deep link reviewed; Business role/catalog assigned in tenant; Launchpad space/page visible; Scope item confirmed; Demo script or test evidence attached; Mexico fiscal evidence validated","Mexico fiscal/audit review","Review in workshop, capture decision owner, attach evidence, update decision status","Lead-to-Cash / Order-to-Cash","O2C/L2C","DRC","F5218","Manage Document and Reporting Compliance","Transactional","Tax / localization owner","S32PCE","Validar","Validar por localizacion","CA-GTF-CSC-DRC-DSH","Mexico overlay","Yes","Mexico fiscal validation required","docs/deliverables/s4hana-fiori-o2c-l2c-app-inventory.md"
"O2C receivables, payments, disputes and collections","Lead-to-Cash / Order-to-Cash","Finance AR / Treasury Owner","High","TBD - standard first","Open","TBD - validate against SAP Best Practices / tenant scope","TBD - link Cloud ALM / test evidence","Pending - app visibility, role/catalog and demo evidence required","Does the standard app cover the business scenario without extension or custom process change?","FARL deep link reviewed; Business role/catalog assigned in tenant; Launchpad space/page visible; Scope item confirmed; Demo script or test evidence attached; Mexico fiscal evidence validated","Mexico fiscal/audit review","Review in workshop, capture decision owner, attach evidence, update decision status","Lead-to-Cash / Order-to-Cash","O2C/L2C","Dunning","F2328","Display Dunning History","Transactional","Accounts Receivable Accountant","S32PCE","Si","SAP_SFIN_BC_AR_DUNNING","FI-FIO-AR","Standard / curated","Review","FARL sourced; tenant validation pending","docs/deliverables/s4hana-fiori-o2c-l2c-app-inventory.md"
"O2C receivables, payments, disputes and collections","Lead-to-Cash / Order-to-Cash","Finance AR / Treasury Owner","High","TBD - standard first","Open","TBD - validate against SAP Best Practices / tenant scope","TBD - link Cloud ALM / test evidence","Pending - app visibility, role/catalog and demo evidence required","Does the standard app cover the business scenario without extension or custom process change?","FARL deep link reviewed; Business role/catalog assigned in tenant; Launchpad space/page visible; Scope item confirmed; Demo script or test evidence attached; Mexico fiscal evidence validated","Mexico fiscal/audit review","Review in workshop, capture decision owner, attach evidence, update decision status","Lead-to-Cash / Order-to-Cash","O2C/L2C","Dunning","F2435","My Dunning Proposals","Transactional","Accounts Receivable Accountant","S32PCE","Si","SAP_SFIN_BC_AR_DUNNING","FI-FIO-AR","Standard / curated","Review","FARL sourced; tenant validation pending","docs/deliverables/s4hana-fiori-o2c-l2c-app-inventory.md"
"O2C receivables, payments, disputes and collections","Lead-to-Cash / Order-to-Cash","Finance AR / Treasury Owner","Medium","TBD - standard first","Open","TBD - validate against SAP Best Practices / tenant scope","TBD - link Cloud ALM / test evidence","Pending - app visibility, role/catalog and demo evidence required","Does the standard app cover the business scenario without extension or custom process change?","FARL deep link reviewed; Business role/catalog assigned in tenant; Launchpad space/page visible; Scope item confirmed; Demo script or test evidence attached; Mexico fiscal evidence validated","Mexico fiscal/audit review","Review in workshop, capture decision owner, attach evidence, update decision status","Lead-to-Cash / Order-to-Cash","O2C/L2C","Dunning analytics","F1742","Dunning Level Distribution (S/4HANA)","Analytical","Accounts Receivable Manager","S32PCE","Si","SAP_SFIN_BC_AR_ANALYTICS","FI-FIO-AR-ANA","Standard / curated","Review","FARL sourced; tenant validation pending","docs/deliverables/s4hana-fiori-o2c-l2c-app-inventory.md"
"Mexico compliance and fiscal evidence","Lead-to-Cash / Order-to-Cash","Tax / Localization Lead","High","TBD - standard first","Open","TBD - validate against SAP Best Practices / tenant scope","TBD - link Cloud ALM / test evidence","Pending - app visibility, role/catalog and demo evidence required","Which fiscal evidence, CFDI/DRC step, approval and audit trail must be validated for this scenario?","FARL deep link reviewed; Business role/catalog assigned in tenant; Launchpad space/page visible; Scope item confirmed; Demo script or test evidence attached; Mexico fiscal evidence validated","Mexico fiscal/audit review","Review in workshop, capture decision owner, attach evidence, update decision status","Lead-to-Cash / Order-to-Cash","O2C/L2C","eDocument Mexico","EDOC_MX_COMP_INV","Assign Complement Types to Customers - Mexico eInvoice","SAP GUI","Tax / localization owner","S32PCE","Validar","Validar por localizacion","CA-GTF-CSC-EDO-MX","Mexico overlay","Yes","Mexico fiscal validation required","docs/deliverables/s4hana-fiori-o2c-l2c-app-inventory.md"
"Mexico compliance and fiscal evidence","Lead-to-Cash / Order-to-Cash","Tax / Localization Lead","High","TBD - standard first","Open","TBD - validate against SAP Best Practices / tenant scope","TBD - link Cloud ALM / test evidence","Pending - app visibility, role/catalog and demo evidence required","Which fiscal evidence, CFDI/DRC step, approval and audit trail must be validated for this scenario?","FARL deep link reviewed; Business role/catalog assigned in tenant; Launchpad space/page visible; Scope item confirmed; Demo script or test evidence attached; Mexico fiscal evidence validated","Mexico fiscal/audit review","Review in workshop, capture decision owner, attach evidence, update decision status","Lead-to-Cash / Order-to-Cash","O2C/L2C","eDocument Mexico","EDOC_MX_PROD_INV","Map Product Hierarchy Nodes to Product Codes of Tax Authorities - Mexico eInvoice","SAP GUI","Tax / localization owner","S32PCE","Validar","Validar por localizacion","CA-GTF-CSC-EDO-MX","Mexico overlay","Yes","Mexico fiscal validation required","docs/deliverables/s4hana-fiori-o2c-l2c-app-inventory.md"
"Mexico compliance and fiscal evidence","Lead-to-Cash / Order-to-Cash","Tax / Localization Lead","High","TBD - standard first","Open","TBD - validate against SAP Best Practices / tenant scope","TBD - link Cloud ALM / test evidence","Pending - app visibility, role/catalog and demo evidence required","Which fiscal evidence, CFDI/DRC step, approval and audit trail must be validated for this scenario?","FARL deep link reviewed; Business role/catalog assigned in tenant; Launchpad space/page visible; Scope item confirmed; Demo script or test evidence attached; Mexico fiscal evidence validated","Mexico fiscal/audit review","Review in workshop, capture decision owner, attach evidence, update decision status","Lead-to-Cash / Order-to-Cash","O2C/L2C","eDocument Mexico","EDOC_MX_SUMMARY","Create Consolidated eDocuments - Mexico","SAP GUI","Tax / localization owner","S32PCE","Validar","Validar por localizacion","CA-GTF-CSC-EDO-MX","Mexico overlay","Yes","Mexico fiscal validation required","docs/deliverables/s4hana-fiori-o2c-l2c-app-inventory.md"
"O2C delivery, picking and logistics handoff","Lead-to-Cash / Order-to-Cash","Logistics Owner","High","TBD - standard first","Open","TBD - validate against SAP Best Practices / tenant scope","TBD - link Cloud ALM / test evidence","Pending - app visibility, role/catalog and demo evidence required","Does the standard app cover the business scenario without extension or custom process change?","FARL deep link reviewed; Business role/catalog assigned in tenant; Launchpad space/page visible; Scope item confirmed; Demo script or test evidence attached","Standard validation","Review in workshop, capture decision owner, attach evidence, update decision status","Lead-to-Cash / Order-to-Cash","O2C/L2C","Entrega","F0867A","Manage Outbound Deliveries","Transactional","Shipping Specialist","S32PCE","Si","SAP_LE_BC_OBDLV_PROC","LE-SHP-FIO","Standard / curated","No flagged","FARL sourced; tenant validation pending","docs/deliverables/s4hana-fiori-o2c-l2c-app-inventory.md"
"O2C delivery, picking and logistics handoff","Lead-to-Cash / Order-to-Cash","Logistics Owner","High","TBD - standard first","Open","TBD - validate against SAP Best Practices / tenant scope","TBD - link Cloud ALM / test evidence","Pending - app visibility, role/catalog and demo evidence required","Does the standard app cover the business scenario without extension or custom process change?","FARL deep link reviewed; Business role/catalog assigned in tenant; Launchpad space/page visible; Scope item confirmed; Demo script or test evidence attached","Standard validation","Review in workshop, capture decision owner, attach evidence, update decision status","Lead-to-Cash / Order-to-Cash","O2C/L2C","Entrega","F0869A","Create Outbound Deliveries - From Sales Orders","Transactional","Shipping Specialist","S32PCE","Si","SAP_LE_BC_OBDLV_PROC","LE-SHP-FIO","Standard / curated","No flagged","FARL sourced; tenant validation pending","docs/deliverables/s4hana-fiori-o2c-l2c-app-inventory.md"
"O2C delivery, picking and logistics handoff","Lead-to-Cash / Order-to-Cash","Logistics Owner","High","TBD - standard first","Open","TBD - validate against SAP Best Practices / tenant scope","TBD - link Cloud ALM / test evidence","Pending - app visibility, role/catalog and demo evidence required","Does the standard app cover the business scenario without extension or custom process change?","FARL deep link reviewed; Business role/catalog assigned in tenant; Launchpad space/page visible; Scope item confirmed; Demo script or test evidence attached","Standard validation","Review in workshop, capture decision owner, attach evidence, update decision status","Lead-to-Cash / Order-to-Cash","O2C/L2C","Entrega","F3487","Create Delivery with Reference to Sales Order","Transactional","Shipping Specialist","S32PCE","Si","SAP_LE_BC_OBDLV_PROC","LE-SHP-FIO","Standard / curated","No flagged","FARL sourced; tenant validation pending","docs/deliverables/s4hana-fiori-o2c-l2c-app-inventory.md"
"O2C delivery, picking and logistics handoff","Lead-to-Cash / Order-to-Cash","Logistics Owner","Medium","TBD - standard first","Open","TBD - validate against SAP Best Practices / tenant scope","TBD - link Cloud ALM / test evidence","Pending - app visibility, role/catalog and demo evidence required","Does the standard app cover the business scenario without extension or custom process change?","FARL deep link reviewed; Business role/catalog assigned in tenant; Launchpad space/page visible; Scope item confirmed; Demo script or test evidence attached","Standard validation","Review in workshop, capture decision owner, attach evidence, update decision status","Lead-to-Cash / Order-to-Cash","O2C/L2C","Entrega fact sheet","F0233A","Outbound Delivery (S/4HANA)","Fact sheet","Shipping Specialist","S32PCE","Si","SAP_LE_BC_OBDLV_DISPLAY","LE-SHP-FIO-OBP","Standard / curated","No flagged","FARL sourced; tenant validation pending","docs/deliverables/s4hana-fiori-o2c-l2c-app-inventory.md"
"Fallback and transition controls","Lead-to-Cash / Order-to-Cash","Process Owner + Security Lead","High","TBD - standard first","Open","TBD - validate against SAP Best Practices / tenant scope","TBD - link Cloud ALM / test evidence","Pending - app visibility, role/catalog and demo evidence required","Is this fallback required for the target process, or can the Fiori standard app cover the scenario?","FARL deep link reviewed; Business role/catalog assigned in tenant; Launchpad space/page visible; Scope item confirmed; Demo script or test evidence attached; Mexico fiscal evidence validated; Fallback approval and SoD control documented","Fallback dependency","Review in workshop, capture decision owner, attach evidence, update decision status","Lead-to-Cash / Order-to-Cash","O2C/L2C","Entrega fallback","VL01N","Create Outbound Delivery - With Order Reference","SAP GUI","Other / validate","S32PCE","Si","SAP_LE_BC_OD_PROC","LE-SHP-GF","Controlled fallback","Review if used","Fallback; tenant and role validation pending","docs/deliverables/s4hana-fiori-o2c-l2c-app-inventory.md"
"Fallback and transition controls","Lead-to-Cash / Order-to-Cash","Process Owner + Security Lead","High","TBD - standard first","Open","TBD - validate against SAP Best Practices / tenant scope","TBD - link Cloud ALM / test evidence","Pending - app visibility, role/catalog and demo evidence required","Is this fallback required for the target process, or can the Fiori standard app cover the scenario?","FARL deep link reviewed; Business role/catalog assigned in tenant; Launchpad space/page visible; Scope item confirmed; Demo script or test evidence attached; Mexico fiscal evidence validated; Fallback approval and SoD control documented","Fallback dependency","Review in workshop, capture decision owner, attach evidence, update decision status","Lead-to-Cash / Order-to-Cash","O2C/L2C","Entrega fallback","VL02N","Change Outbound Delivery, Change Returns Delivery","SAP GUI","Other / validate","S32PCE","Si","SAP_LE_BC_OD_PROC","LE-SHP-GF","Controlled fallback","Review if used","Fallback; tenant and role validation pending","docs/deliverables/s4hana-fiori-o2c-l2c-app-inventory.md"
"Fallback and transition controls","Lead-to-Cash / Order-to-Cash","Process Owner + Security Lead","High","TBD - standard first","Open","TBD - validate against SAP Best Practices / tenant scope","TBD - link Cloud ALM / test evidence","Pending - app visibility, role/catalog and demo evidence required","Is this fallback required for the target process, or can the Fiori standard app cover the scenario?","FARL deep link reviewed; Business role/catalog assigned in tenant; Launchpad space/page visible; Scope item confirmed; Demo script or test evidence attached; Mexico fiscal evidence validated; Fallback approval and SoD control documented","Fallback dependency","Review in workshop, capture decision owner, attach evidence, update decision status","Lead-to-Cash / Order-to-Cash","O2C/L2C","Entrega fallback","VL03N","Display Outbound Delivery, Display Returns Delivery","SAP GUI","Other / validate","S32PCE","Si","SAP_LE_BC_OBDLV_DISPLAY","LE-SHP-GF","Controlled fallback","Review if used","Fallback; tenant and role validation pending","docs/deliverables/s4hana-fiori-o2c-l2c-app-inventory.md"
"L2C/O2C commercial document flow","Lead-to-Cash / Order-to-Cash","Sales / Billing Owner","High","TBD - standard first","Open","TBD - validate against SAP Best Practices / tenant scope","TBD - link Cloud ALM / test evidence","Pending - app visibility, role/catalog and demo evidence required","Does the standard app cover the business scenario without extension or custom process change?","FARL deep link reviewed; Business role/catalog assigned in tenant; Launchpad space/page visible; Scope item confirmed; Demo script or test evidence attached","Standard validation","Review in workshop, capture decision owner, attach evidence, update decision status","Lead-to-Cash / Order-to-Cash","O2C/L2C","Excepciones fulfillment","F0029A","Sales Order Fulfillment Issues (Version 2)","Transactional, Analytical","Internal Sales Representative","S32PCE","Si","SAP_SD_BC_SLS_ORD_MNTRG","SD-FIO-HBA","Standard / curated","No flagged","FARL sourced; tenant validation pending","docs/deliverables/s4hana-fiori-o2c-l2c-app-inventory.md"
"O2C analytics and controls","Lead-to-Cash / Order-to-Cash","Sales / Billing Owner","Medium","TBD - standard first","Open","TBD - validate against SAP Best Practices / tenant scope","TBD - link Cloud ALM / test evidence","Pending - app visibility, role/catalog and demo evidence required","Does the standard app cover the business scenario without extension or custom process change?","FARL deep link reviewed; Business role/catalog assigned in tenant; Launchpad space/page visible; Scope item confirmed; Demo script or test evidence attached; Mexico fiscal evidence validated","Mexico fiscal/audit review","Review in workshop, capture decision owner, attach evidence, update decision status","Lead-to-Cash / Order-to-Cash","O2C/L2C","Factura fact sheet","F1901","Billing Document","Fact sheet","Billing Clerk","S32PCE","Si","SAP_SD_BC_BIL_DOC_DISPL","SD-FIO-BIL","Standard / curated","Review","FARL sourced; tenant validation pending","docs/deliverables/s4hana-fiori-o2c-l2c-app-inventory.md"
"O2C billing, returns and credit memo","Lead-to-Cash / Order-to-Cash","Sales / Billing Owner","High","TBD - standard first","Open","TBD - validate against SAP Best Practices / tenant scope","TBD - link Cloud ALM / test evidence","Pending - app visibility, role/catalog and demo evidence required","Does the standard app cover the business scenario without extension or custom process change?","FARL deep link reviewed; Business role/catalog assigned in tenant; Launchpad space/page visible; Scope item confirmed; Demo script or test evidence attached; Mexico fiscal evidence validated","Mexico fiscal/audit review","Review in workshop, capture decision owner, attach evidence, update decision status","Lead-to-Cash / Order-to-Cash","O2C/L2C","Facturacion","F0797","Manage Billing Documents","Transactional","Billing Clerk","S32PCE","Si","SAP_SD_BC_BIL_DOC","SD-FIO-BIL","Standard / curated","Review","FARL sourced; tenant validation pending","docs/deliverables/s4hana-fiori-o2c-l2c-app-inventory.md"
"O2C billing, returns and credit memo","Lead-to-Cash / Order-to-Cash","Sales / Billing Owner","High","TBD - standard first","Open","TBD - validate against SAP Best Practices / tenant scope","TBD - link Cloud ALM / test evidence","Pending - app visibility, role/catalog and demo evidence required","Does the standard app cover the business scenario without extension or custom process change?","FARL deep link reviewed; Business role/catalog assigned in tenant; Launchpad space/page visible; Scope item confirmed; Demo script or test evidence attached; Mexico fiscal evidence validated","Mexico fiscal/audit review","Review in workshop, capture decision owner, attach evidence, update decision status","Lead-to-Cash / Order-to-Cash","O2C/L2C","Facturacion","F0798","Create Billing Documents","Transactional","Billing Clerk","S32PCE","Si","SAP_SD_BC_BIL_DOC","SD-FIO-BIL","Standard / curated","Review","FARL sourced; tenant validation pending","docs/deliverables/s4hana-fiori-o2c-l2c-app-inventory.md"
"Fallback and transition controls","Lead-to-Cash / Order-to-Cash","Process Owner + Security Lead","High","TBD - standard first","Open","TBD - validate against SAP Best Practices / tenant scope","TBD - link Cloud ALM / test evidence","Pending - app visibility, role/catalog and demo evidence required","Is this fallback required for the target process, or can the Fiori standard app cover the scenario?","FARL deep link reviewed; Business role/catalog assigned in tenant; Launchpad space/page visible; Scope item confirmed; Demo script or test evidence attached; Mexico fiscal evidence validated; Fallback approval and SoD control documented","Fallback dependency","Review in workshop, capture decision owner, attach evidence, update decision status","Lead-to-Cash / Order-to-Cash","O2C/L2C","Facturacion fallback","VF01","Create Billing Documents, Create Billing Documents - VF01","SAP GUI","Other / validate","S32PCE","Si","SAP_SD_BC_BIL_DOC","SD-BIL","Controlled fallback","Review if used","Fallback; tenant and role validation pending","docs/deliverables/s4hana-fiori-o2c-l2c-app-inventory.md"
"Fallback and transition controls","Lead-to-Cash / Order-to-Cash","Process Owner + Security Lead","High","TBD - standard first","Open","TBD - validate against SAP Best Practices / tenant scope","TBD - link Cloud ALM / test evidence","Pending - app visibility, role/catalog and demo evidence required","Is this fallback required for the target process, or can the Fiori standard app cover the scenario?","FARL deep link reviewed; Business role/catalog assigned in tenant; Launchpad space/page visible; Scope item confirmed; Demo script or test evidence attached; Mexico fiscal evidence validated; Fallback approval and SoD control documented","Fallback dependency","Review in workshop, capture decision owner, attach evidence, update decision status","Lead-to-Cash / Order-to-Cash","O2C/L2C","Facturacion fallback","VF02","Change Billing Documents","SAP GUI","Other / validate","S32PCE","Si","SAP_SD_BC_BIL_DOC","SD-BIL","Controlled fallback","Review if used","Fallback; tenant and role validation pending","docs/deliverables/s4hana-fiori-o2c-l2c-app-inventory.md"
"Fallback and transition controls","Lead-to-Cash / Order-to-Cash","Process Owner + Security Lead","High","TBD - standard first","Open","TBD - validate against SAP Best Practices / tenant scope","TBD - link Cloud ALM / test evidence","Pending - app visibility, role/catalog and demo evidence required","Is this fallback required for the target process, or can the Fiori standard app cover the scenario?","FARL deep link reviewed; Business role/catalog assigned in tenant; Launchpad space/page visible; Scope item confirmed; Demo script or test evidence attached; Mexico fiscal evidence validated; Fallback approval and SoD control documented","Fallback dependency","Review in workshop, capture decision owner, attach evidence, update decision status","Lead-to-Cash / Order-to-Cash","O2C/L2C","Facturacion fallback","VF03","Display Billing Documents","SAP GUI","Other / validate","S32PCE","Si","SAP_SD_BC_BIL_DOC_DISPL","SD-BIL","Controlled fallback","Review if used","Fallback; tenant and role validation pending","docs/deliverables/s4hana-fiori-o2c-l2c-app-inventory.md"
"Fallback and transition controls","Lead-to-Cash / Order-to-Cash","Process Owner + Security Lead","High","TBD - standard first","Open","TBD - validate against SAP Best Practices / tenant scope","TBD - link Cloud ALM / test evidence","Pending - app visibility, role/catalog and demo evidence required","Is this fallback required for the target process, or can the Fiori standard app cover the scenario?","FARL deep link reviewed; Business role/catalog assigned in tenant; Launchpad space/page visible; Scope item confirmed; Demo script or test evidence attached; Mexico fiscal evidence validated; Fallback approval and SoD control documented","Fallback dependency","Review in workshop, capture decision owner, attach evidence, update decision status","Lead-to-Cash / Order-to-Cash","O2C/L2C","Facturacion fallback","VF04","Create Billing Documents - VF04, Maintain Billing Due List","SAP GUI","Other / validate","S32PCE","Si","SAP_SD_BC_BIL_DOC","SD-BIL","Controlled fallback","Review if used","Fallback; tenant and role validation pending","docs/deliverables/s4hana-fiori-o2c-l2c-app-inventory.md"
"L2C/O2C commercial document flow","Lead-to-Cash / Order-to-Cash","Sales / Billing Owner","High","TBD - standard first","Open","TBD - validate against SAP Best Practices / tenant scope","TBD - link Cloud ALM / test evidence","Pending - app visibility, role/catalog and demo evidence required","Does the standard app cover the business scenario without extension or custom process change?","FARL deep link reviewed; Business role/catalog assigned in tenant; Launchpad space/page visible; Scope item confirmed; Demo script or test evidence attached","Standard validation","Review in workshop, capture decision owner, attach evidence, update decision status","Lead-to-Cash / Order-to-Cash","O2C/L2C","Fulfillment","F2577","Track Sales Orders (S/4HANA)","Transactional, Analytical","Internal Sales Representative","S32PCE","Si","SAP_SD_BC_SLS_ORD_TRACKING","SD-FIO-HBA","Standard / curated","No flagged","FARL sourced; tenant validation pending","docs/deliverables/s4hana-fiori-o2c-l2c-app-inventory.md"
